a52dec 0.8.0-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxvmc 1.0.14-1.1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
licenses 20240728-1
lightdm 1:1.32.0-6.1
lightdm-gtk-greeter 1:2.0.9-1
lightdm-runit 20220815-1
lilv 0.24.24-3
linux 6.12.9.artix1-1
linux-api-headers 6.10-1
linux-firmware 20250109.7673dffd-1
linux-firmware-whence 20250109.7673dffd-1
linux-headers 6.12.9.artix1-1
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
lua51-lpeg 1.1.0-3
luajit 2.1.1736781742-1
lv2 1.18.10-1
lvm2 2.03.30-1
lvm2-runit 20210205-3
lz4 1:1.10.0-2.1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.10-1
mate-desktop 1.28.2-2
mate-icon-theme-faenza 1.20.0-4
mathjax2 2.7.9-2
md4c 0.5.2-1
mdadm 4.4-1
mdadm-runit 20180429-3
media-player-info 26-1
memtest86+ 7.20-2
mesa 1:24.3.4-1
metalog 20230719-2
metalog-runit 20180226-5
mjpegtools 2.2.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mkinitcpio-openswap 0.1.0-4
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mousepad 0.6.3-2
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.10-1
mpv 1:0.39.0-4
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.6-1
nano 8.3-1
nbd 3.26.1-2
ncurses 6.5-3
neon 0.34.0-1
neovim 0.10.4-1
net-tools 2.10-3
nettle 3.10.1-1
nfs-utils 2.8.2-2
nfs-utils-runit 20200613-2
nfsidmap 2.8.2-2
npth 1.8-1
nspr 4.36-1
nss 3.107-1
ntfs-3g 2022.10.3-1
nvidia 565.77-11
nvidia-utils 565.77-3
ocl-icd 2.3.2-2
oniguruma 6.9.10-1
openal 1.24.2-1
opencore-amr 0.1.6-2
openexr 3.3.2-1
openh264 2.5.0-1
openjpeg2 2.5.3-1
openntpd 6.8p1-9
openntpd-runit 20220306-1
openssh 9.9p1-2
openssh-runit 20180429-4
openssl 3.4.0-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
p11-kit 0.25.5-1
